Date,Price,Open,High,Low,Vol.,Change %
7/5/17,982.38,982.5,986.38,969.12,-,1.08%
7/3/17,971.88,956.62,980.62,956.12,-,2.48%
6/30/17,948.38,920.38,950.38,917.62,-,3.02%
6/29/17,920.62,919.38,932.38,919.12,-,0.22%
6/28/17,918.62,916.38,922.12,915.88,-,0.30%
6/27/17,915.88,913.62,922.38,913.62,-,0.44%
6/26/17,911.88,909.12,916.38,908.25,-,0.83%
6/23/17,904.38,906.38,908.88,900.38,-,0.06%
6/22/17,903.88,919.88,920.62,903.12,-,-1.63%
6/21/17,918.88,929.12,932.38,917.12,-,-0.94%
6/20/17,927.62,937.62,940.62,926.12,-,-1.07%
6/19/17,937.62,936.62,947.38,933.88,-,-0.19%
6/16/17,939.38,935.62,942.12,932.12,-,0.51%
6/15/17,934.62,931.12,938.38,925.62,-,0.29%
6/14/17,931.88,932.38,938.88,931.12,-,-0.11%
6/13/17,932.88,933.38,941.38,931.88,-,0.21%
6/12/17,930.88,941.62,942.62,930.38,-,-1.12%
6/9/17,941.38,936.62,943.88,933.12,-,0.37%
6/8/17,937.88,931.12,944.62,930.88,-,0.75%
6/7/17,930.88,925.12,934.38,924.88,-,0.84%
6/6/17,923.12,920.88,934.12,920.12,-,0.16%
6/5/17,921.62,925.38,926.38,917.88,-,0.11%
6/2/17,920.62,912.62,923.88,910.88,-,0.96%
6/1/17,911.88,916.38,920.62,911.88,-,-0.44%
5/31/17,915.88,915.12,920.38,909.62,-,0.36%
5/30/17,912.62,927.62,928.38,910.62,-,-1.49%
5/26/17,926.38,939.88,940.88,925.62,-,-1.38%
5/25/17,939.38,947.62,952.12,939.12,-,-0.92%
5/24/17,948.12,948.88,951.88,943.12,-,-0.03%
5/23/17,948.38,956.12,959.12,947.12,-,-0.84%
5/22/17,956.38,954.12,960.88,954.12,-,0.34%
5/19/17,953.12,944.62,956.12,944.62,-,0.90%
5/18/17,944.62,970.62,971.12,942.88,-,-3.20%
5/17/17,975.88,975.62,980.5,973.62,-,-0.05%
5/16/17,976.38,965.38,976.62,963.88,-,1.17%
5/15/17,965.12,962.62,972.88,962.38,-,0.23%
5/12/17,962.88,964.62,967.38,960.62,-,-0.34%
5/11/17,966.12,970.88,975.62,962.88,-,-0.32%
5/10/17,969.25,974.38,988.5,966.88,-,-0.48%
5/9/17,973.88,965.38,977.12,963.62,-,0.86%
5/8/17,965.62,971.62,974.62,963.62,-,-0.77%
5/5/17,973.12,974.38,982.88,967.88,-,-0.03%
5/4/17,973.38,976.62,979.88,969.62,-,-0.15%
5/3/17,974.88,969.62,976.38,967.38,-,0.59%
5/2/17,969.12,969.12,978.38,965.38,-,-0.15%
5/1/17,970.62,961.88,974.62,958.62,-,1.41%
4/28/17,957.12,956.75,958.62,952.5,-,-0.05%
4/27/17,957.62,957.12,961.25,954.38,-,0.09%
4/26/17,956.75,965.62,968.38,955.25,-,-0.89%
4/25/17,965.38,969.38,971.12,964.88,-,-0.67%
4/24/17,971.88,963.25,971.88,962.12,-,2.21%
4/21/17,950.88,945.62,952.62,944.88,-,0.45%
4/20/17,946.62,950.12,955.62,946.12,-,-0.47%
4/19/17,951.12,946.75,954.38,942.75,-,0.58%
4/18/17,945.62,952.12,954.88,939.88,-,-0.79%
4/17/17,953.12,958.62,961.88,951.62,-,-0.26%
4/13/17,955.62,947.12,959.38,946.88,-,0.84%
4/12/17,947.62,942.38,951.25,941.12,-,0.80%
4/11/17,940.12,941.62,944.88,929.88,-,-0.19%
4/10/17,941.88,944.12,948.88,939.38,-,-0.05%
4/7/17,942.38,938.62,945.38,937.38,-,0.16%
4/6/17,940.88,944.38,946.38,940.12,-,-0.29%
4/5/17,943.62,937.62,948.38,937.62,-,0.64%
4/4/17,937.62,939.5,942.62,936.62,-,0.00%
4/3/17,937.62,946.38,949.12,937.62,-,-0.87%
3/31/17,945.88,961.38,966.38,944.38,-,-1.77%
3/30/17,962.88,969.75,969.88,961.12,-,-0.59%
3/29/17,968.62,970.88,975.88,967.38,-,-0.34%
3/28/17,971.88,971.38,976.38,971.12,-,0.05%
3/27/17,971.38,976.12,978.62,968.38,-,-0.43%
3/24/17,975.62,990.62,990.88,972.38,-,-1.51%
3/23/17,990.62,999.38,"1,001.88",990.62,-,-0.88%
3/22/17,999.38,"1,000.62","1,003.12",994.12,-,-0.25%
3/21/17,"1,001.88","1,000.38","1,007.88",995.12,-,0.20%
3/20/17,999.88,"1,003.62","1,008.62",998.38,-,-0.02%
